GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT5G44568,2.457,2.08,2.581,1.659,2.125,1.652,4.676
AT5G44569,0.648,1.16,1.421,1.262,1.347,0.986,1.509
AT5G44566,0,0,0,0,0,0,0
AT5G44570,0.026,0.024,0,0,0.026,0.058,0
AT5G44572,0.702,1.499,1.297,1.49,1.972,2.202,4.491
AT5G44574,0.33,0.41,0.408,0.38,0.527,0.388,0.774
AT5G44575,0,0.035,0,0,0.04,0.034,0.396
AT5G44578,1.565,1.477,1.667,1.594,1.078,1.002,1.03
AT5G44580,7.955,9.128,8.745,8.315,5.44,4.814,4.334
AT5G44582,2.748,3.772,4.109,3.672,2.933,2.747,4.935
AT5G44585,4.486,6.509,5.532,5.359,3.97,3.827,9.143
AT5G06595,0,0.03,0,0,0.04,0,0
AT5G06615,0,0.066,0.074,0,0.143,0.222,0.074
AT5G44590,0.282,0.51,0.445,0.484,0.313,0.243,0.02
AT5G44600,14.723,11.771,9.374,7.456,4.492,3.954,2.881
AT5G44610,22.448,26.062,35.378,49.285,58.017,80.863,99.135
AT5G44620,0.074,0.03,0.06,0.058,0.018,0.042,0.044
AT5G44630,0,0,0,0,0,0,0
AT5G44635,4.223,3.88,3.348,2.859,1.504,1.018,0.67
AT5G44640,0,0,0,0,0,0,0
AT5G44650,95.73,73.559,62.528,51.911,45.034,37.471,30.273
AT5G44660,21.562,19.13,20.489,20.785,31.372,32.194,26.615
AT5G44670,28.463,27.114,28.36,28.523,24.826,26.168,19.282
AT5G44680,28.014,27.899,25.857,23.691,22.839,21.669,17.262
AT5G44690,0.02,0.017,0.03,0.053,0.028,0.01,0.02
AT5G44700,3.157,2.632,2.446,1.795,1.803,1.462,1.117
AT5G44705,0,0,0,0,0,0,0
AT5G44710,11.67,12.227,11.481,10.272,7.59,7.192,5.95
AT5G44720,21.163,20.761,20.02,15.678,11.462,10.832,8.312
AT5G44730,10.956,11.107,11.114,9.044,6.383,4.694,4.128
AT5G44740,2.475,2.59,2.234,1.894,1.774,1.681,0.933
AT5G44750,22.901,23.509,23.434,22.037,31.913,36.706,41.827
