Sample name	title	source name	organism	characteristics: Tissue	characteristics: Developmental Stage	characteristics: Ecotype	characteristics: Genotype	characteristics: Treatment	characteristics: Original series ID	characteristics: Replicate Group	molecule	label	platform
GSM284390	Reanalysis of GSM284390	Arabidopsis GPE2	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_7	total RNA	biotin	GPL198
GSM284391	Reanalysis of GSM284391	Arabidopsis GPE3	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_7	total RNA	biotin	GPL198
GSM284394	Reanalysis of GSM284394	Arabidopsis GCE3	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_9	total RNA	biotin	GPL198
GSM284395	Reanalysis of GSM284395	Arabidopsis GPSc1	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_12	total RNA	biotin	GPL198
GSM284396	Reanalysis of GSM284396	Arabidopsis GPSc2	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_12	total RNA	biotin	GPL198
GSM284398	Reanalysis of GSM284398	Arabidopsis GGSc2	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_14	total RNA	biotin	GPL198
GSM499416	Reanalysis of GSM499416	Arabidopsis gWS1	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_16	total RNA	biotin	GPL198
GSM499417	Reanalysis of GSM499417	Arabidopsis gWS2	Arabidopsis thaliana	seed	-	Ws-0	wild type	development	GSE12404	GSE11262_16	total RNA	biotin	GPL198
GSM290755	Reanalysis of GSM290755	root - 01% oxygen - 2h - F	Arabidopsis thaliana	root	1.03	Col-2	wild type	abiotic stress	GSE11558	GSE11558_1	total RNA	biotin	GPL198
GSM290757	Reanalysis of GSM290757	root - 01% oxygen - 30min - F	Arabidopsis thaliana	root	1.03	Col-2	wild type	abiotic stress	GSE11558	GSE11558_2	total RNA	biotin	GPL198
GSM290758	Reanalysis of GSM290758	root - 01% oxygen - 48h - A	Arabidopsis thaliana	root	1.03	Col-2	wild type	abiotic stress	GSE11558	GSE11558_3	total RNA	biotin	GPL198
GSM290825	Reanalysis of GSM290825	root - 04% oxygen - 30min - F	Arabidopsis thaliana	root	1.03	Col-2	wild type	abiotic stress	GSE11558	GSE11558_5	total RNA	biotin	GPL198
GSM290827	Reanalysis of GSM290827	root - 04% oxygen - 48h - B	Arabidopsis thaliana	root	1.03	Col-2	wild type	abiotic stress	GSE11558	GSE11558_6	total RNA	biotin	GPL198
